created_at,entry_id,soilmoisture,humidity,temperature
2021-04-28T16:53:00+05:30,103,196,88,32.7
2021-04-28T16:53:15+05:30,104,194,75,32.5
2021-04-28T16:53:30+05:30,105,196,76,32.5
2021-04-28T16:53:46+05:30,106,196,75,32.5
2021-04-28T16:54:01+05:30,107,196,76,32.5
2021-04-28T16:54:16+05:30,108,196,75,32.5
2021-04-28T16:54:32+05:30,109,197,75,32.6
2021-04-28T16:54:47+05:30,110,195,75,32.5
2021-04-28T16:55:03+05:30,111,194,75,32.5
2021-04-28T16:55:18+05:30,112,192,75,32.5
2021-04-28T16:55:33+05:30,113,195,75,32.6
2021-04-28T16:55:48+05:30,114,195,75,32.7
2021-04-28T16:56:04+05:30,115,195,75,32.5
2021-04-28T16:56:19+05:30,116,194,75,32.5
2021-04-28T16:56:35+05:30,117,193,75,32.5
2021-04-28T16:56:50+05:30,118,192,75,32.5
2021-04-28T16:57:05+05:30,119,196,74,32.5
2021-04-28T17:14:12+05:30,120,196,nan,nan
2021-04-28T17:14:28+05:30,121,197,nan,nan
2021-04-28T17:14:43+05:30,122,197,nan,nan
2021-04-28T17:14:59+05:30,123,196,nan,nan
2021-04-28T17:15:14+05:30,124,196,nan,nan
2021-04-28T17:15:30+05:30,125,196,nan,nan
2021-04-28T17:15:46+05:30,126,197,nan,nan
2021-04-28T17:16:01+05:30,127,196,nan,nan
2021-04-28T17:16:17+05:30,128,196,nan,nan
2021-04-28T17:16:32+05:30,129,197,nan,nan
2021-04-28T18:09:33+05:30,130,196,75,32.8
2021-04-28T18:09:48+05:30,131,197,75,33
2021-04-28T18:10:04+05:30,132,196,74,32.7
2021-04-28T18:10:19+05:30,133,196,74,32.7
2021-04-28T18:10:34+05:30,134,196,74,32.7
2021-04-28T18:10:50+05:30,135,196,74,32.7
2021-04-28T18:11:05+05:30,136,196,74,32.8
2021-04-28T18:11:20+05:30,137,196,74,32.8
2021-04-28T18:11:36+05:30,138,196,74,32.8
2021-04-28T18:11:51+05:30,139,196,75,32.9
2021-04-28T18:12:06+05:30,140,196,77,33
2021-04-28T18:12:22+05:30,141,197,75,33
2021-04-28T18:12:37+05:30,142,196,74,33
2021-04-28T18:12:52+05:30,143,196,74,33
2021-04-28T18:13:07+05:30,144,196,74,33
2021-04-28T18:13:23+05:30,145,197,74,33
2021-04-28T18:13:38+05:30,146,197,74,33
2021-04-28T18:13:53+05:30,147,196,74,33
2021-04-28T18:24:31+05:30,148,196,73,32.9
2021-04-28T18:24:46+05:30,149,197,75,32.6
2021-04-28T18:25:01+05:30,150,196,74,32.5
2021-04-28T18:25:16+05:30,151,196,75,32.5
2021-04-28T18:25:32+05:30,152,197,76,32.6
2021-04-28T18:25:47+05:30,153,196,nan,nan
